,result
116,"['FLUGELSCHWINGER', 'BIO SIDERITIS SCARDICA TEE/ORGANIC SIDERITIS SCARDICA TEA/', 'THE SIDERITIS SCARDICA BIO', 'Sideritis Scardica ist auch unter dem Namen,Griechischer Bergtee"" oder ,Olympischer Bergtee', 'bekannt. Diese spezielle Pflanzensorte stammt ursprunglich vom Berg Olymp im Norden Griechen-', 'lands, sie kann jedoch im gesamten Mittelmeerraum kultiviert werden. Unser Sideritis Scardica Tee stammt', 'aus kontrolliert biologischem Anbau in der naturbelassenen Hochebene Albaniens. Wichtiger Zubereitungs-', 'hinweis: Nehmen Sie pro Tasse (0,25 l) einen leicht gehauften Teeloffel oder pro Liter vier Teeloffel Bio', 'Sideritis Scardica Tee. Immer mit sprudelnd kochendem Wasser aufgieBen und mindestens funf Minuten', 'ziehen lassen. Nur so erhalten Sie ein sicheres Lebensmittel! Trinken und genieBen Sie das sanfte Aroma', 'des wohltuenden Bergtees ein- bis dreimal taglich. Tipp: Sideritis Scardica Tee schmeckt besonders lecker,', 'wenn Sie ihn mit etwas Honig und einem Schuss Orangensaft verfeinern. Lagerung: Bitte kuhl, trocken und', 'gut verschlossen lagern.Zutaten: 100% Sideritis Scardica aus kontrolliert biologischem Anbau. Mindestens', 'haltbar bis: 01.02.2025 | Lot Nr.: 461082023.', "" Sideritis Scardica is also known as 'Greek Mountain Tea' or 'Olympic Mountain Tea'. This particular"", 'plant variety originally comes from Mount Olympus in northern Greece, but it can be cultivated', 'pristine highlands of Albania. Preparation: Use one slightly heaping teaspoon per cup (0.25 l) or four', 'teaspoons of organic Sideritis Scardica tea per litre. Pour over with bubbling boiling water and let steep for', 'at least five minutes.Drink and enjoy the gentle aroma of this soothing mountain tea one to three times', 'daily.Tip: Sideritis Scardica tea tastes especially delicious when refined with a little honey and a splash of', 'orange juice. Storage: Please store cool, dry, and well sealed. Ingredients: 100% Organic Sideritis Scardica.', 'Best before date: 01/02/2025 | Lot No.: 461082023.', ""Sideritis Scardica est egalement connu sous le nom de 'The des montagnes grecques' ou 'The des"", ""montagnes olympiques'. Cette variete de plante particuliere provient a l'origine du mont Olympe"", ""dans le nord de la Grece, mais elle peut etre cultivee dans I'ensemble du bassin mediterraneen. Notre the"", ""Sideritis Scardica provient d'une agriculture biologique controlee dans les hauts plateaux preserves"", ""d'Albanie. Preparation : Utilisez une cuillere a cafe legerement bombee par tasse (0,25 l) ou quatre"", ""cuilleres a cafe de the Sideritis Scardica bio par litre. Versez avec de I'eau bouillante et effervescente et"", ""laissez infuser pendant au moins cinq minutes. Buvez et savourez I'arome doux de ce the de montagne"", ""vous I'agrementez d'un peu de miel et d'un filet de jus d'orange. Stockage : Veuillez conserver dans un"", 'endroit frais, sec et bien ferme. Ingredients : 100% Sideritis Scardica bio. A consommer de preference', 'avant : 01/02/2025 | N de lot : 461082023.', 'FLUGELSCHWINGERO', 'Tee und Superfoods', 'Inh. Christine Elisabeth Irnstetter, Bremer Str. 9, 90451 Nurnberg, Deutschland / Germany', 'www.fluegelschwinger.com', 'PL-EKO-07', 'FR', 'Nicht-EU-Landwirtschaft/', 'EMBALLAGE', ' Non-EU agriculture /', 'Agriculture hors UE', 'X001B99D2X', '300g BIO Sideritis Scardica... Bergtee, geschnitten (300g).', 'Neu']"
117,"['Ready to drink Oral', 'Rehydration Salts', 'prolyte', 'ORS', 'THE ORALREHYDRATION THERAPY', '200 ml of ORS supplies electrolytes', 'in the following concentrations', 'ELECTROLYTES mOsmol/Litre', 'Sodium', '75', 'Potassium', '20', '..', 'Chloride', '65', 'Citrate', '10', '..', 'Dextrose', '75', '...', 'Total Osmolarity', '245']"
118,"['Sin', 'No produce.', 'dependencia', 'azucares', 'LMR-CH-20210415-06', 'Sin azucares (0,0 g/comprimido, 0,1 g/100 g)']"
119,"['1.5 in', '6.7in', '3.6in', 'IIIII']"
120,"['31', 'FRONTLINE', 'pipettes', 'of0.5mL', 'SPOTON', 'CAT', '10%w/SP0TONSOLUTION', 'Fipronit 50mg', 'KILLS', 'FLEAS,TICKS&LICE', 'FOR', 'CATS', 'Boehringer', 'Ingelheim']"
121,"['1.37inch', '3.14inch', 'SMCH', '3.93inch']"
122,['ver Adapter']
123,"['150mm', 'CHARGER', '75mm', '3.0A', 'M12-18C', 'DCEXW', 'MADE IN CHINA', '175mm']"
124,"['Product Size', '90cm/35.43in', 'XFRATE', '7cm/2.76in']"
125,"['GLAM UP', 'HING', 'IING', 'NG', 'SOOTHING', 'VG', 'ALOF', 'GLAMUP', 'HING', 'IING', 'NG', 'SOOTHING', 'NG', 'ALOE', 'ment', 'ent', 'Texture Refinement', 'ALOE POUR APAISER', 'Raffermir la texture de la peau', 'ge tissu', 'ssu', 'Masque visage tissu', 'par Glam Up', '0.740z/21g', '0.740z', 'fo', 'EXTRASERUM']"
126,"['diamondLife', 'HARDWARE', 'MAGNETIC BOARD', 'INCLUDED', 'MAGPANEL""', 'ATTRACTS', 'ANY MAGNET', '24x48', ""KID'SROOM"", 'LARGE SIZES & COLORS']"
127,"['WEIGHT:', '165mm', '0.9kg', '111', '/810', 'WORKPRO', 'PH14', 'SL4+PH1', '0425', 'SL5+PH2', 'PK36', 'SL6+PH3', '185mm', '3PCS Cr-V BITS', '3"" (76mm)', '5"" (127mm)', '6"" (150mm)', '12V', '3PCSHSS STEELDRILL', 'Lithium-lon', 'WORKPRO']"
128,"['No.1', 'SK', '24', '32', '24', '12', '.', 'A', '.', 'c.', '.', '.', '<>', '0460', '2115-', 'TEL0794-860200']"
129,"['5.1 INCH', '3INCH', '7.3INCH']"
130,"['CHOOSE YOUR PERFECT', 'FIT', '59 x 59 x 18 cm', 'Fit for small pets up to 12 kg', '75 x 75 x 18 cm', 'Fit for medium pets up to 16 kg', '92 x 92 x 18 cm', 'Fit for large pets up to 25 kg', '115 x 115 x 18 cm', 'Fit for jumbo pets up to 45 kg']"
131,"[""TANMET INT'L BUSINESS LTD"", '9 Pantygraigwen Road, Pontypridd,', 'UK', 'REP', 'Mid Glamorgan, CF37 2RR,UK', 'tanmetbiz@outlook.com', 'EUBRIDGE ADVISORY GMBH', 'X001QGK50F', 'Virginia Str.2', 'EC', 'Wall ight Indoor, Wall.table Up and Down Light.', 'REP', '35510 Butzbach,Germany', 'DS126SC Wall Iamp-Black-UK#', 'eubridge@outlook.com', 'SPECIFICATIONS', 'ENERG', 'ENERG', ' Feallive', 'Product Model:DS126SC', 'Feallive', 'DS126SC', 'DS126SC', 'Rated Power:4W', 'A', 'A', 'USB Input:5V-1A', 'B', 'B', 'C', 'Color Temperatures:', 'D', 'Main light:2700K-4000K-5500K;', 'E', 'Night light:2700K', 'F', 'G', 'G', 'G', 'G', 'Power Source: Battery Powered', 'Package Size: 125*105*68mm', '5', 'kWh/1000h', 'kWh/1000h', 'Color: White Black Wood', '2019/2015', '2021 No.1095', 'MADE IN CHINA', 'FCKCE ROHS', 'R']"
132,"['THE STOPPER IS MADE OF', 'RUBBER---SOFTBUT STURDY', ""NO DAMAGE TO THE ROLLER'S"", 'FELT SURFACE, EASY TO ADJUST.', 'BEGINNER', 'INTERMEDIATE', 'ADVANCED', 'SIDE-TO-SIDE 9.7in', 'SIDE-TO-SIDE (15.2in)', 'SIDE-TO-SIDE(23.5in']"
133,"['48v 16Ah', 'Removeable', 'Li-jon Battery', '2 Charging Methods', 'Direct Charging', 'Direct', 'Charging', 'Removable', 'Charging', 'H', '5-6 Hours', '35-80Miles', 'IP65', '12Months', 'Full Charge', 'Riding Range', 'Waterproof', 'Warrany']"
134,"['3.9""', '3.9""', '4.3""', '13""', '4.3""', '0.5""', 'Recommended Bulbs', 'Material', 'Aluminum Alloy & Glass', 'E26 Base, A19, T45', 'Power Source', 'Corded-Electric', 'Bulbs NOT Included', 'Certification', 'ETL Listed', 'Voltage', '110-120V', 'Socket', 'E26', 'Wattage', '60WMAX']"
135,"['12cm/4.7in', '2.5cm/1in', '13cm/5.1in']"
136,"['Product Size', '3.1in', '/8cm', '3in/7.5cm', '5.1in/13cm']"
137,"['3mm/0.11in', '11.5cm/4.52in', '7.4cm/2.9in', '0.5cm', '3.2cm/1.25in', '2cm/0.78in']"
138,"['Indispensable 5A USB C to C Cable', 'For the charging current over 3A', 'Built-in', 'Support Max', 'Support Max', 'Support Max', 'Emark Clip', '5A Current', '100w Power', '480Mbps Sync', 'Support 100w20v/5A', 'power through', 'Stronger Copper Wire', 'Flexible Bending:', '180Distortion']"
139,"['DETAILS MAKE', 'THE DIFFERENCE', 'Electric Motorized Power', 'FitnessRunningMachine', '14Km', 'KG', 'Speed', '110Kgs', 'Max. User weight', 'PTM405']"
140,"['Size:', 'Length: 58.00 cm/22.83 in', 'Width:34.5 cm/13.58 in', 'High: 0.2 cm/0.07 in']"
141,"['IMPTS', 'IMPTS', 'Model:IP92002-W', '250m', '05', 'EG', 'IMPTS', 'IMPTS', '-86403768', 'Made in PRC', 'IP92002-W', 'IMPT5']"
142,"['35.5cm', '40.5cm']"
143,"['GLOBAL HEALING', 'Liver Health', 'Plant-Based', 'LiverGallbladder', 'Detox Support']"
144,"['Lenght 176 mm', 'Height 58 mm', 'Width 116 mm']"
145,"['28cm/11""', '23.5cm/9.4""', '11cm/4.4""']"
146,"['06', '80', '70', '40', '30', 'Actual graph of light emitted', 'during Hoogalite testing', 'hogga', ' Night time exposure to blue light', ""can impair the body's preparation."", 'for sleep.', '1600-1700K', 'Dimmablo', 'Studies hqve shown thqt the blue', 'light from LEDs in electronic devices.', ""is impairing people's sleep"", 'The Hoogalite blocks 99.94% of light', 'from the blue part of the spectrum..', ' Using a blue-free, amber light at', 'night can help to maintain your', ""body's natural circadian rhythm.""]"
147,"['70.9in/180cm', 'HAPPY', '47.2in/120cm', '18', 'TH', 'BIRTHDAY', 'Backdrop Ribbon X1', 'Backdrop Ribbon']"
148,"['GDSTIME BRUSHLESS EC FAN 8O25', '800.5mm', 'Dimension:', '3.150.02inch', 'FanSize:80x80x25mm/3.15x3.15x0.98in', 'Parallel Hole Distance:71.5mm/2.81in', 'Wire Length:300mm/11.81in', 'Parameters:', '3.150.02inch', '77+0.5mm', 'Bearing Type:Dual Ball Bearing', '800.5mm', '3.030.02inch', 'Rated Voltage:AC 110V-240V', 'RatedPower:2.5W', 'Rated Speed:2800 RPM', 'Air Flow:43.6CFM', '4.30.3mm', '0.170.01inch', 'Noise Level:31 dBA', 'Life Expectancy:', '67,0000hrs at 25degree test', '71.50.3mm', '2.810.01inch', '30010mm', '0.980.02inch', '250.5mm', '11.810.39inch', '150010mm/59.060.39in']"
149,"['250W HUB MOTOR', 'ourney', 'Max Speed25 km/h']"
150,"['How', 'To USE', 'Step1>', 'Clean the face and keep.', 'it fresh and clean', 'Step2>', 'Apply the clay mask evenly.', 'onto face all over or on.', 'targeted areas as needed.', 'Step3>', 'FACIAL', 'MASK', 'Oil', '20g', '4.0', 'Leave on for 10-15 minutes.', 'then rinse clean with warm water', 'For best results use 1-2 times a week', 'Benefits : toning skin , controlling oiliness Removing impurities', 'blackheads. Healing , brightening and tightening skin .']"
151,"['3.34 in / 8.5 cm', '7.67 in / 19.5 cm']"
152,"['11.02in-12.99in', 'The thickness does not', 'exceed 3.93in']"
153,"['Giratorio 360', '27.5cm', 'Aco inoxidavel', 'Frasco devidro', 'Facil', 'reabastecimento', 'Base rotativa de', '360', '10.3cm', 'Facil de limpar', '16Potes+ suporte', '2,260g', 'Capacidade de', '5.2cm', '18cm', '80g']"
154,"[""WHAT'S IN THE BUNDLE?"", 'PROLIXR', 'Detoxifying Sea Algae Mask', 'Beauty Shield Vitamin C Serum', 'PROLIXR', 'BEAUTY', 'SHIELD', 'PROLIXR', 'VITAMIN', 'S', 'ERUM', 'perfect skin', '1.02OZ/30ml', 'Detoxifying Sea Algae Mosk']"
155,"['L13', '3', '400mm', 'NEXT CONTROIERS', '450mm', '2mm']"
156,"['Alevica', 'FA', 'Innwet', 'Suppsrta a cerrecta hnzone ncicetthe', ' epr n']"
157,"['0.3 INCH', '0.5 INCH', '(6.7MM)', '(11.5 MM)', '0.2 INCH', '(4.1MM)', 'Net Weight:2.67G', '925 SterlingSilver', 'Yellow Part Is Brass', 'Open Ring', 'Twist Design Vintage Style', 'Original Color Never Fade', 'Manual measurement, the size may be slightly different from the physical.']"
158,"['36V.250W', '25 KM/H', 'Motore con Mozzo a Ingranaggi', 'Massima Velocita', '30o']"
159,"['Mehr als Bohnen & Pulver', 'Vielseitig verwendbar', 'Inklusive Messloffel', '18 cup-30m']"
160,['8V LITHIUM']
161,"['143cm', '54cm', '67cm']"
162,"['Compattezza e comfort', 'Set da 4 pezzi', 'Peso totale dei 4 pezzi', 'Aperto:', '22,44x19,29x31,9 pollici', '32,5 libbre /14,73 kg', '57x49x81cm', 'Chiuso:', '19,61x6,3 x40,75 pollici', '49,8x16x103,5cm']"
163,"['apih', 'COLLAGEN + TURMERIC', 'Adaptogenic Mix', 'THE', 'BALANCE', 'BLEND', 'Cantidad neta /Net quantity 400g']"
164,"['13in', '4.3in', '0.7in', '.5in', 'MODE1 MODE2 MODE3', '3', '7.0in', '5.9in', 'Remote', 'Control', '1.5in', '.5in', '2', '1.5in']"
165,"['weight:12g', '2 inch', 'O0', 'EVER', 'FAIL', 'UNTIL', 'YOU', 'STOP', 'TRYING""']"
166,"['6', 'PCS', '15.8inch/40cm green', 'garden single stem plant', 'support stakes with open', '40CM/15.8INCH', 'ring (about 6.3cm diame-', 'ter)', 'SIZE']"
167,"['Length 445mm', 'Width 370mm', 'VitrA', '165mm']"
168,"['BREATHE', 'THE', 'FRAGRANCE OFNATURE', 'Letbreathing become apleasure and make', 'your every day full of energy', 'Mullein And Houttuynia', 'Cordata Tea Bags', '20 Tea bags Net WT 2.12 OZ 60g)']"
169,"['Solve all your troubles', 'Conqto Battery', '76%Higher Capacity', 'Keep your Phone Alive All Day', 'Easy to Install', 'Old Battery,charge Frequently', 'Conqto', '6', 'Only', 'Not for 6s/6Plus/6sPlus', 'Li-Polymer Battery', 'StandardVoltage:3.82V', 'Charge Limit Voltage:4.35V', 'Watt-hour:12.22Wh', 'Drop 10% Sooner,Again and Again', '3200mAh', 'New Upgraded', 'Potential for fire or burning.', 'Do not disassemble,', 'puncture,crush,heat,orburn.', 'RoHSE FC', 'MADE IN CHINA', 'Auto Shutdown,Very Often']"
170,"['SIZECHART', '68', ' 91x68x16cm', 'L', '16', ' 67x56cm', '56', '30KGS', '76', '106', '5106x76x19cm', 'XL', '19', ' 82x63cm', '63', '8', '45KGST']"
171,"['118mm', '14', '13', '12', '0', '145mm']"
172,"['COMPATIBILTY', 'Tool-Free mountingbracketsfor quick', 'and painless installation on all Intel and', 'AMD sockets', 'AMD', 'Intel LGA', 'AMD', '1700', 'AM4', '1200/115X', '2066', 'AMD', 'CoolerMaster', 'CPU&SocketCompatibility', 'IntelLGA1700/1200/115X/1366/2066 /2011-v3./2011', 'AMD', 'AM4/AM3+/AM3/AM2+/AM2/FM2+/FM2/FM1']"
173,"['Hohe Effi', '240erLED-Lichternetz', '240er LED-Lichternetz', 'LED-Farbe warmweiB', 'Kabelfarbe transparent', 'Zuleitung ca.10m, GroBe ca.300x300cm BxH', 'Fur innen &auBen geeignet', 'Inkl.Transformator (GS IP44 DC 36V 100mA)', 'warmweiB warm white', '240 LED Net Light', 'LED colour warm white', 'Transparent wire', 'Ca.10m lead wire,Measurement ca.300x300cm (WxH', 'Inside &outside usage', 'Incl.transformer (GS IP44 DC 36V100mA)']"
174,"['VEE', 'VEEDINT', 'Mandt', 'Ste', 'Sherits', 'CUMIN-', '-', 'POWDER', 'No Preservatives,No AdditivesNo Fillers', 'Aliergy', 'This pou', 'Wheat.', 'Mustor', 'Produci', 'Naturad', 'Produe', 'Custon', 'infopn', 'Net Wt:400 Gms 14 oz)']"
175,"['HDMIE', 'LAN', 'HOARO', 'HDMIE', 'ANTE']"
176,"['29.6""', '42.6""', ""15.55'""]"
177,"['Rustproof and Quick Drainage', 'Perfect for daily use in bathroom', 'LONDON', 'FACE', 'hand craftedin.sm', 'bath and enjoy.sulphate and pabente', 'C ml500', '16.gl.ozUS', '100ml/33i', 'Rustproof']"
178,"['THE NEWVALUE FRONTIER', 'KXKyOCERa', '*-', 'No.88', '236mm', 'EyF1.5', '0.7mm', 'KyOCERa', '88ON', '1$', 'KYOCERA Industrial Tools Corporation']"
179,"['0.39in/10mm', '30LEDs/m', 'NDCAS', 'SVDin CND', 'Din CN', '1.294in/32.86mm', '0.39in/10mm', '60LEDs/m', 'C', 'AS', '0.66in/16.67mm', '0.472in/ 12mm', '144LEDs/m', '0.255in/6.48mm']"
180,"['GLOW UP', 'THE', 'HOLIDAYS', 'WITH', 'LUXURY SCENTS', 'AT AN AFFORDABLE PRICE', 'CAUTION:', 'MAY CAUSE SLIPPERY FLOORS', 'AVOID OVER SPRAYING', 'clohnson', 'AIR FRESHENER', 'LIMITED EDITION', 'Fall', 'NOTES OF WARM CAMPFIRE', '&NIGHT AIR', '8.30Z.(235g)', 'CAUTION.COEE']"
181,"['30CM/11.81IN', '7CM/2.76IN']"
182,"['PATIOFY', 'Height', 'COMFORT AT YOUR DOOR STEP', ""53'Inches"", 'Weight Holding', 'Capacity', 'Width', ""20'Inches"", 'Depth', ""10'Inches"", 'Length', ""30'Inches""]"
183,"['123', '24.5 30-45', 'G 1/2', '0139', '9', '9', 'G 1/2""']"
184,"['PD-Schnellladung', 'Lademaximum: 3A', '20W', '5W', '20W PD', '5WRegular', 'PD', 'Charger', 'Charger', 'Type C', '20W', '93.93%', 'Max 66W', 'Lightning', 'Type-C to Lightning']"
185,"['Derma', 'EXCELLENT FOR', 'Solve.', 'DRY ITCHY SCALP', 'SCALY BUILD UP DANDRUFF', 'PSORIASIS', 'CALMS & SOOTHES', 'RETAINS MOISTURE', 'CONTROLS SCALING', 'SCALP OIL', 'Calms  Soothes', 'LOOSENS BUILD-UP', 'Retains Moisture', 'PREVENTS FLAKING', 'Solve', 'FRAGRANCE FREE', 'IRRITATION FREE', 'erma', 'Moisturizes', 'conditions', 'NO ANIMAL TESTING', ' Controls scaling', ' Loosens build-up', ' Prevents flaking', ' Soothes the skin', 'Net Wt. 4oz I 120mI C']"
186,"['BASICINFORMATION', 'Package Dimension:13x8-3/4""x1-1/4""', 'Package Weight:0.924LB', '8-3/4""', '13""', 'Easily storage after folding']"
187,"['ABS+PC through the mask', 'Aluminium', 'Haofy', 'High sensitivity', 'detection head', 'Bright LED', 'Lamp Soket']"
188,"['74cm', '30 cm', '44 cm', '74 cm', '44 cm', '31,5 cm', '30 cm', '31,5 cm', '75,5 cm', '75,5 cm', '70,5 cm', '80,5 cm', '33.cm', '1', 'I', 'I']"
189,"['13in', ""18.5' in"", 'Small Garden Flag']"
190,"['A:8.3x6cm/3.26x2.36in', 'B:10.2x8.6cm/4x3.38in']"
191,"['Long Life of the High Quality', 'Electronic Components!', 'Oh8i', 'F8000LV6.80']"
192,"['6IN1', 'UNDo (Brick separator included)', 'CANT BUILD AT THE', 'SAME TIME', '282', 'BUILD (Manual 282-A)', '1', 'REBUILD (Manual 282-1 to 282-6']"
193,"['Alga de ombro.', 'Altura da', 'Alga:13 cm', '9s', 'Altura:23 cm', 'Comprimento: 22 cm']"
194,"['3 Slots Large', 'Sturdy Thick', 'High-quality', 'Capacity', 'Construction', 'Material', 'BOOK', 'DE STILETTO', 'Cas', 'BOOL']"
195,"['Capacidad de carga', 'KG', '100 kg', 'Rango de altura', '720-1200mm', 'Velocidad', '38mm/s', 'Elige el tamano que mejor', 'se adapte a tu espacio', '120-180cm', '70-80cm']"
196,"['18.5 cm', '11 cm', 'CoUelu', '17.3cm', '5cm']"
197,"['Product Information Sheet.', 'cOMMISsION DELEGATED REGULATION (EU) 2019/2013 with regard to energy labelling of', 'electronic displays', 'Parameter', 'Parameter or value and', 'Unit', 'precision', '1.', "" Supplier's name or trademark.."", 'Hisense', ""Supplier's address."", 'Hisense TV, Partizanska', 'cesta 12H, 3320 Velenje,', 'Slovenija', '2.', 'Model identifier', '32A4K', '3.', 'Energy Efficiency Class for Standard Dynamic Range', 'F', '(SDR)', '4.', 'On mode power demand in SDR', '27,0', 'W', 'Energy Efficiency Class for High Dynamic Range', 'n.a.', '(HDR)', '6.', 'On mode power demand in HDR, if implemented', 'n.a.', 'W', '7.', 'Off mode, power demand, if applicable.', '0,0', 'W', '8.', 'Standby mode power demand, if applicable', '0,2', '9.', 'Networked standby mode power demand, if applic-', '0,9', 'W', 'able', '10.', 'Electronic display category', 'Television', '11.', 'Size ratio', '16', '6', '12.', 'Screen resolution', '1 366', 'x', '768', 'pixels', '13.', ' Screen diagonal', '80,0', 'cm', '14.', 'Screen diagonal', '32', 'inches', '15.', 'Visible screen area', '27,4', 'dm2', '16.', ' Panel technology used', 'LED LCD', '17.', 'Automatic Brightness Control (ABC) available.', 'Yes', '18.', 'Voice recognition sensor available', 'No', '19.', 'Room presence sensor available', 'No', '20.', 'Image refresh frequency rate (default).', '60', 'Hz', '21.', 'Minimum guaranteed availability of software and', '8', 'Years', 'firmware updates (from the date of end of the', 'placement on the market).', '22.', 'Minimum guaranteed availability of spare parts', 'Years', '(from the date of end of the placement on the mar-', 'ket)', '23.', 'Minimum guaranteed product support.', '10', 'Years', 'Minimum duration of the general guarantee offered', 'Years', 'by the supplier', '24.', ' Power supply type', 'Internal', '25.', 'External power supply (non standardized and included in the product box)', '-', 'ii', 'Input voltage', '-', 'v', 'Page 1 /2']"
198,"['SEAFON', '18 cm']"
199,"['5', 'FRAGILE', 'UPWARD', 'AVOID MOISTURE', 'STACKING LIMIT', 'HANDLE WITH CARE', 'raobosi', 'BRAND:A aobosi', 'ITEM:CAR FRIDGE With APP', 'MODEL:CL50', 'VOLTAGE:DC12V/24V AC100-240V', 'POWER:80W', 'QTY1PC/CTN', 'N.W13KG/28.6LB', 'G.W15.5KG/34.1LB', 'MEAS65.4X41.8X56.5CM)', '25.7X16.4X22.2(INCH)', 'MADE IN CHINA', 'E']"
200,"['25.5cm', '23.5cm']"
201,"['LIONSAFFRON', 'M.R.PR3000', '(ncl.', '10g']"
202,"['Liuelynine', 'Livelynine peel and stick floor tile', 'Giving your interior space a quick makeover with the addition', 'of new vinyl floor tile.', 'They come in various patterns and designs', 'Plus with only half the cost.you save more money on your flooring.', 'Peel And Stick', 'Floor Tiles', '16Pack', 'Waterproof', 'Easy to clean', 'Self adhesive', 'Easy to install', 'Package: contain 16 tiles', 'Thickness:0.06-In in depth', 'Size: 12x12 Inch']"
203,"['ISAACJACOBS', 'NEW YORK', 'CLASSIC HOME', 'COLLECTION', 'Photo Frame', '10 inch x 12 inch 25cm x 30 cm) frame', 'matled for 8 inch x 10 inch (20 cm x 25 cm) photo']"
204,"['100n', 'EN13236']"
205,"['CELLBELL', '3ENITJI', 'A-41cm', 'F-48cm', 'Height Sustainability-5.2Ft-6Ft', 'B-48cm', 'G-64cm', 'Weight Sustainability-105 kgs', 'C-48cm', 'D-49-61cm', 'E-84-98 cm', 'A', 'C', 'E', 'B', 'D', 'G']"
206,"['PURE', 'DROP.', 'INVENTIONS', 'SIP.', 'water', 'infusion', 'THRIVE.', 'drops', 'Antioxidant', 'CRANBERRY', 'ELDERBERRY', 'OPURE', 'INVENTIONS', 'water infusion drops', 'Fowrup yorwaoler', ' hee deicioun', 'Antioxidant', 'CRANBERRY', 'ELDERBERRY', 'Isosind welten', 'NO SUGAR,NO CALORIES', '&NO ARTIFICIAL SWEETENERS', '60 SERVINGS2FL.OZ(60 ml', 'NATURAL EXTRACT DIETARY SUPPLEMENT']"
207,"['anddshreen', 'Dendrobium &Mullein', 'Extract Herbal Drop', 'STCRE', 'Powerful Lung Support', 'leanse', 'Respiratory.', 'Vadane', 'HERBALDROPS OF DENDROBIOM', 'AND PISTILUS EXTRACTS', 'Net 30m', 'The herbal drops are absorbed under the', 'act Herbal Drope', 'Enang unction', 'Balans lovols', 'tongue. The ingredients act on the lungs.', 'Cleanalways', 'Maxmum', 'and respiratory system through the blood,.', 'Oeans', 'stimulate and dilute the mucus in the trachea', '30ml/1fl.oz', 'VEGANGMO FREEISO', 'VEGANGMO FREEISO', 'and lungs, help expel sputum and lung residues', 'within 2 hours, and dredge the airway.']"
208,"['DOwiNX', 'LOADS UP TO 35OLBS', 'Upgraded Steel Support Plates']"
209,"['ADAPTABLE &', 'SEAT DIMENSIONS', '16in x16in (40 cm x 40 cm)', 'ADJUSTABLE', 'WEIGHT LlMIT: 110 LBS (50 kg)', 'ADJUSTABLE', 'LENGTH FROM', ""4.4' to5.4'"", '7', '1.3 m to1.7m)', '(18 cm)', 'C', 'B', '16"" (40 cm)', '10.6', '(27 cm)', '16""(40 cm)']"
210,['200mm/7.87inch']
211,"['7.86 in / 20 cm', '3.54 in / 9 cm']"
212,"['15cm/5.9in', '24cm/9.44in', '7.56cm/', '2.97in', '26.5cm/10.43in', '3.7cm/', '1.45in', '32cm/12.59in']"
213,"['Size', '11in/28cm', '14.57in/37cm', '13in/33cm', '12.2in/31cm', '0.12in/0.3cm', '14.57in/37cm', '15.7in/40cm', 'I', '11.8in/30cm']"
214,"['12.5cm/4.92IN', 'C', '6.7CM / 2.63IN', '23CM/9.05IN']"
215,"['26cm /10.23in', '20.5cm/8.07in', '20.5cm/ 8.07in']"
216,"['6.5cm', '3cm', '4.5cm', '17cm', '13.5cm']"
217,"['CH1', 'CH2', 'DUAL USB', 'CHARGER', 'CHII', 'BP-511', 'BATTERY PACK', 'FORBP-511', 'CE', '7.4V2650mAh Li-ion', 'CAUTION:', '+', 'external contacts']"
